year,state,state_po,county,FIPS,office,candidate,party,candidatevotes,totalvotes,PercentageWon,PartyWon
2012,Alabama,AL,Autauga,1001,President,Barack Obama,democrat,6363,23932,0.265878322,Republican
2012,Alabama,AL,Autauga,1001,President,Mitt Romney,republican,17379,23932,0.726182517,Republican
2012,Alabama,AL,Autauga,1001,President,Other,NA,190,23932,0.007939161,Republican
2012,Alabama,AL,Baldwin,1003,President,Barack Obama,democrat,18424,85338,0.215894443,Republican
2012,Alabama,AL,Baldwin,1003,President,Mitt Romney,republican,66016,85338,0.773582695,Republican
2012,Alabama,AL,Baldwin,1003,President,Other,NA,898,85338,0.010522862,Republican
2012,Alabama,AL,Barbour,1005,President,Barack Obama,democrat,5912,11509,0.513684942,Democrat
2012,Alabama,AL,Barbour,1005,President,Mitt Romney,republican,5550,11509,0.482231297,Democrat
2012,Alabama,AL,Barbour,1005,President,Other,NA,47,11509,0.004083761,Democrat
2012,Alabama,AL,Bibb,1007,President,Barack Obama,democrat,2202,8420,0.26152019,Republican
2012,Alabama,AL,Bibb,1007,President,Mitt Romney,republican,6132,8420,0.728266033,Republican
2012,Alabama,AL,Bibb,1007,President,Other,NA,86,8420,0.010213777,Republican
2012,Alabama,AL,Blount,1009,President,Barack Obama,democrat,2970,24006,0.12371907,Republican
2012,Alabama,AL,Blount,1009,President,Mitt Romney,republican,20757,24006,0.864658835,Republican
2012,Alabama,AL,Blount,1009,President,Other,NA,279,24006,0.011622094,Republican
2012,Alabama,AL,Bullock,1011,President,Barack Obama,democrat,4061,5322,0.763059,Democrat
2012,Alabama,AL,Bullock,1011,President,Mitt Romney,republican,1251,5322,0.235062007,Democrat
2012,Alabama,AL,Bullock,1011,President,Other,NA,10,5322,0.001878993,Democrat
2012,Alabama,AL,Butler,1013,President,Barack Obama,democrat,4374,9496,0.460614996,Republican
2012,Alabama,AL,Butler,1013,President,Mitt Romney,republican,5087,9496,0.535699242,Republican
2012,Alabama,AL,Butler,1013,President,Other,NA,35,9496,0.003685762,Republican
2012,Alabama,AL,Calhoun,1015,President,Barack Obama,democrat,15511,46257,0.335322222,Republican
2012,Alabama,AL,Calhoun,1015,President,Mitt Romney,republican,30278,46257,0.654560391,Republican
2012,Alabama,AL,Calhoun,1015,President,Other,NA,468,46257,0.010117388,Republican
2012,Alabama,AL,Chambers,1017,President,Barack Obama,democrat,6871,14611,0.470262131,Republican
2012,Alabama,AL,Chambers,1017,President,Mitt Romney,republican,7626,14611,0.521935528,Republican
2012,Alabama,AL,Chambers,1017,President,Other,NA,114,14611,0.007802341,Republican
2012,Alabama,AL,Cherokee,1019,President,Barack Obama,democrat,2132,9779,0.218018202,Republican
2012,Alabama,AL,Cherokee,1019,President,Mitt Romney,republican,7506,9779,0.767563146,Republican
2012,Alabama,AL,Cherokee,1019,President,Other,NA,141,9779,0.014418652,Republican
2012,Alabama,AL,Chilton,1021,President,Barack Obama,democrat,3397,17462,0.194536708,Republican
2012,Alabama,AL,Chilton,1021,President,Mitt Romney,republican,13932,17462,0.797846753,Republican
2012,Alabama,AL,Chilton,1021,President,Other,NA,133,17462,0.007616539,Republican
2012,Alabama,AL,Choctaw,1023,President,Barack Obama,democrat,3786,7968,0.475150602,Republican
2012,Alabama,AL,Choctaw,1023,President,Mitt Romney,republican,4152,7968,0.521084337,Republican
2012,Alabama,AL,Choctaw,1023,President,Other,NA,30,7968,0.00376506,Republican
2012,Alabama,AL,Clarke,1025,President,Barack Obama,democrat,6334,13851,0.457295502,Republican
2012,Alabama,AL,Clarke,1025,President,Mitt Romney,republican,7470,13851,0.539311241,Republican
2012,Alabama,AL,Clarke,1025,President,Other,NA,47,13851,0.003393257,Republican
2012,Alabama,AL,Clay,1027,President,Barack Obama,democrat,1777,6662,0.266736716,Republican
2012,Alabama,AL,Clay,1027,President,Mitt Romney,republican,4817,6662,0.723056139,Republican
2012,Alabama,AL,Clay,1027,President,Other,NA,68,6662,0.010207145,Republican
2012,Alabama,AL,Cleburne,1029,President,Barack Obama,democrat,971,6305,0.154004758,Republican
2012,Alabama,AL,Cleburne,1029,President,Mitt Romney,republican,5272,6305,0.836161776,Republican
2012,Alabama,AL,Cleburne,1029,President,Other,NA,62,6305,0.009833466,Republican
2012,Alabama,AL,Coffee,1031,President,Barack Obama,democrat,4925,19770,0.24911482,Republican
2012,Alabama,AL,Coffee,1031,President,Mitt Romney,republican,14666,19770,0.741831057,Republican
2012,Alabama,AL,Coffee,1031,President,Other,NA,179,19770,0.009054122,Republican
2012,Alabama,AL,Colbert,1033,President,Barack Obama,democrat,9166,23385,0.391960659,Republican
2012,Alabama,AL,Colbert,1033,President,Mitt Romney,republican,13936,23385,0.595937567,Republican
2012,Alabama,AL,Colbert,1033,President,Other,NA,283,23385,0.012101775,Republican
2012,Alabama,AL,Conecuh,1035,President,Barack Obama,democrat,3555,7022,0.506266021,Democrat
2012,Alabama,AL,Conecuh,1035,President,Mitt Romney,republican,3439,7022,0.489746511,Democrat
2012,Alabama,AL,Conecuh,1035,President,Other,NA,28,7022,0.003987468,Democrat
2012,Alabama,AL,Coosa,1037,President,Barack Obama,democrat,2191,5269,0.41582843,Republican
2012,Alabama,AL,Coosa,1037,President,Mitt Romney,republican,3049,5269,0.578667679,Republican
2012,Alabama,AL,Coosa,1037,President,Other,NA,29,5269,0.005503891,Republican
2012,Alabama,AL,Covington,1039,President,Barack Obama,democrat,3158,15423,0.204759126,Republican
2012,Alabama,AL,Covington,1039,President,Mitt Romney,republican,12153,15423,0.787978992,Republican
2012,Alabama,AL,Covington,1039,President,Other,NA,112,15423,0.007261882,Republican
2012,Alabama,AL,Crenshaw,1041,President,Barack Obama,democrat,2050,6418,0.319414148,Republican
2012,Alabama,AL,Crenshaw,1041,President,Mitt Romney,republican,4331,6418,0.674820816,Republican
2012,Alabama,AL,Crenshaw,1041,President,Other,NA,37,6418,0.005765036,Republican
2012,Alabama,AL,Cullman,1043,President,Barack Obama,democrat,5052,34457,0.146617523,Republican
2012,Alabama,AL,Cullman,1043,President,Mitt Romney,republican,28999,34457,0.841599675,Republican
2012,Alabama,AL,Cullman,1043,President,Other,NA,406,34457,0.011782802,Republican
2012,Alabama,AL,Dale,1045,President,Barack Obama,democrat,5286,18557,0.284852077,Republican
2012,Alabama,AL,Dale,1045,President,Mitt Romney,republican,13108,18557,0.706364175,Republican
2012,Alabama,AL,Dale,1045,President,Other,NA,163,18557,0.008783747,Republican
2012,Alabama,AL,Dallas,1047,President,Barack Obama,democrat,14612,20953,0.697370305,Democrat
2012,Alabama,AL,Dallas,1047,President,Mitt Romney,republican,6288,20953,0.300100224,Democrat
2012,Alabama,AL,Dallas,1047,President,Other,NA,53,20953,0.002529471,Democrat
2012,Alabama,AL,DeKalb,1049,President,Barack Obama,democrat,5239,23863,0.219544902,Republican
2012,Alabama,AL,DeKalb,1049,President,Mitt Romney,republican,18331,23863,0.768176675,Republican
2012,Alabama,AL,DeKalb,1049,President,Other,NA,293,23863,0.012278423,Republican
2012,Alabama,AL,Elmore,1051,President,Barack Obama,democrat,8954,35485,0.252331971,Republican
2012,Alabama,AL,Elmore,1051,President,Mitt Romney,republican,26253,35485,0.739833733,Republican
2012,Alabama,AL,Elmore,1051,President,Other,NA,278,35485,0.007834296,Republican
2012,Alabama,AL,Escambia,1053,President,Barack Obama,democrat,5489,14869,0.369157307,Republican
2012,Alabama,AL,Escambia,1053,President,Mitt Romney,republican,9287,14869,0.624588069,Republican
2012,Alabama,AL,Escambia,1053,President,Other,NA,93,14869,0.006254624,Republican
2012,Alabama,AL,Etowah,1055,President,Barack Obama,democrat,12803,42530,0.301034564,Republican
2012,Alabama,AL,Etowah,1055,President,Mitt Romney,republican,29130,42530,0.684928286,Republican
2012,Alabama,AL,Etowah,1055,President,Other,NA,597,42530,0.01403715,Republican
2012,Alabama,AL,Fayette,1057,President,Barack Obama,democrat,1817,7946,0.228668512,Republican
2012,Alabama,AL,Fayette,1057,President,Mitt Romney,republican,6054,7946,0.761892776,Republican
2012,Alabama,AL,Fayette,1057,President,Other,NA,75,7946,0.009438711,Republican
2012,Alabama,AL,Franklin,1059,President,Barack Obama,democrat,3171,10859,0.292015839,Republican
2012,Alabama,AL,Franklin,1059,President,Mitt Romney,republican,7567,10859,0.69684133,Republican
2012,Alabama,AL,Franklin,1059,President,Other,NA,121,10859,0.011142831,Republican
2012,Alabama,AL,Geneva,1061,President,Barack Obama,democrat,2039,11320,0.180123675,Republican
2012,Alabama,AL,Geneva,1061,President,Mitt Romney,republican,9175,11320,0.810512367,Republican
2012,Alabama,AL,Geneva,1061,President,Other,NA,106,11320,0.009363958,Republican
2012,Alabama,AL,Greene,1063,President,Barack Obama,democrat,4521,5340,0.846629213,Democrat
2012,Alabama,AL,Greene,1063,President,Mitt Romney,republican,804,5340,0.150561798,Democrat
2012,Alabama,AL,Greene,1063,President,Other,NA,15,5340,0.002808989,Democrat
2012,Alabama,AL,Hale,1065,President,Barack Obama,democrat,5411,8643,0.626055768,Democrat
2012,Alabama,AL,Hale,1065,President,Mitt Romney,republican,3210,8643,0.37139882,Democrat
2012,Alabama,AL,Hale,1065,President,Other,NA,22,8643,0.002545412,Democrat
2012,Alabama,AL,Henry,1067,President,Barack Obama,democrat,3083,8760,0.351940639,Republican
2012,Alabama,AL,Henry,1067,President,Mitt Romney,republican,5628,8760,0.642465753,Republican
2012,Alabama,AL,Henry,1067,President,Other,NA,49,8760,0.005593607,Republican
2012,Alabama,AL,Houston,1069,President,Barack Obama,democrat,12367,41918,0.295028389,Republican
2012,Alabama,AL,Houston,1069,President,Mitt Romney,republican,29270,41918,0.698268047,Republican
2012,Alabama,AL,Houston,1069,President,Other,NA,281,41918,0.006703564,Republican
2012,Alabama,AL,Jackson,1071,President,Barack Obama,democrat,5822,20577,0.28293726,Republican
2012,Alabama,AL,Jackson,1071,President,Mitt Romney,republican,14439,20577,0.701705788,Republican
2012,Alabama,AL,Jackson,1071,President,Other,NA,316,20577,0.015356952,Republican
2012,Alabama,AL,Jefferson,1073,President,Barack Obama,democrat,159876,303918,0.52604979,Democrat
2012,Alabama,AL,Jefferson,1073,President,Mitt Romney,republican,141683,303918,0.466188248,Democrat
2012,Alabama,AL,Jefferson,1073,President,Other,NA,2359,303918,0.007761962,Democrat
2012,Alabama,AL,Lamar,1075,President,Barack Obama,democrat,1646,7166,0.229695786,Republican
2012,Alabama,AL,Lamar,1075,President,Mitt Romney,republican,5457,7166,0.761512699,Republican
2012,Alabama,AL,Lamar,1075,President,Other,NA,63,7166,0.008791515,Republican
2012,Alabama,AL,Lauderdale,1077,President,Barack Obama,democrat,12511,36924,0.338831113,Republican
2012,Alabama,AL,Lauderdale,1077,President,Mitt Romney,republican,23911,36924,0.647573394,Republican
2012,Alabama,AL,Lauderdale,1077,President,Other,NA,502,36924,0.013595493,Republican
2012,Alabama,AL,Lawrence,1079,President,Barack Obama,democrat,5069,14112,0.359197846,Republican
2012,Alabama,AL,Lawrence,1079,President,Mitt Romney,republican,8874,14112,0.628826531,Republican
2012,Alabama,AL,Lawrence,1079,President,Other,NA,169,14112,0.011975624,Republican
2012,Alabama,AL,Lee,1081,President,Barack Obama,democrat,21381,54359,0.393329531,Republican
2012,Alabama,AL,Lee,1081,President,Mitt Romney,republican,32194,54359,0.592247834,Republican
2012,Alabama,AL,Lee,1081,President,Other,NA,784,54359,0.014422635,Republican
2012,Alabama,AL,Limestone,1083,President,Barack Obama,democrat,9829,35459,0.277193378,Republican
2012,Alabama,AL,Limestone,1083,President,Mitt Romney,republican,25295,35459,0.713359091,Republican
2012,Alabama,AL,Limestone,1083,President,Other,NA,335,35459,0.009447531,Republican
2012,Alabama,AL,Lowndes,1085,President,Barack Obama,democrat,5747,7521,0.764127111,Democrat
2012,Alabama,AL,Lowndes,1085,President,Mitt Romney,republican,1756,7521,0.23347959,Democrat
2012,Alabama,AL,Lowndes,1085,President,Other,NA,18,7521,0.002393299,Democrat
2012,Alabama,AL,Macon,1087,President,Barack Obama,democrat,9045,10394,0.870213585,Democrat
2012,Alabama,AL,Macon,1087,President,Mitt Romney,republican,1331,10394,0.128054647,Democrat
2012,Alabama,AL,Macon,1087,President,Other,NA,18,10394,0.001731768,Democrat
2012,Alabama,AL,Madison,1089,President,Barack Obama,democrat,62015,155059,0.399944537,Republican
2012,Alabama,AL,Madison,1089,President,Mitt Romney,republican,90884,155059,0.586125281,Republican
2012,Alabama,AL,Madison,1089,President,Other,NA,2160,155059,0.013930181,Republican
2012,Alabama,AL,Marengo,1091,President,Barack Obama,democrat,6167,11537,0.534541042,Democrat
2012,Alabama,AL,Marengo,1091,President,Mitt Romney,republican,5336,11537,0.462511918,Democrat
2012,Alabama,AL,Marengo,1091,President,Other,NA,34,11537,0.00294704,Democrat
2012,Alabama,AL,Marion,1093,President,Barack Obama,democrat,2249,12105,0.185790995,Republican
2012,Alabama,AL,Marion,1093,President,Mitt Romney,republican,9697,12105,0.801073936,Republican
2012,Alabama,AL,Marion,1093,President,Other,NA,159,12105,0.013135068,Republican
2012,Alabama,AL,Marshall,1095,President,Barack Obama,democrat,6299,32566,0.193422588,Republican
2012,Alabama,AL,Marshall,1095,President,Mitt Romney,republican,25867,32566,0.794294663,Republican
2012,Alabama,AL,Marshall,1095,President,Other,NA,400,32566,0.012282749,Republican
2012,Alabama,AL,Mobile,1097,President,Barack Obama,democrat,78760,174864,0.450407174,Republican
2012,Alabama,AL,Mobile,1097,President,Mitt Romney,republican,94893,174864,0.542667444,Republican
2012,Alabama,AL,Mobile,1097,President,Other,NA,1211,174864,0.006925382,Republican
2012,Alabama,AL,Monroe,1099,President,Barack Obama,democrat,4914,10708,0.458909227,Republican
2012,Alabama,AL,Monroe,1099,President,Mitt Romney,republican,5741,10708,0.536141203,Republican
2012,Alabama,AL,Monroe,1099,President,Other,NA,53,10708,0.00494957,Republican
2012,Alabama,AL,Montgomery,1101,President,Barack Obama,democrat,63085,101924,0.618941564,Democrat
2012,Alabama,AL,Montgomery,1101,President,Mitt Romney,republican,38332,101924,0.376084141,Democrat
2012,Alabama,AL,Montgomery,1101,President,Other,NA,507,101924,0.004974295,Democrat
2012,Alabama,AL,Morgan,1103,President,Barack Obama,democrat,13439,49323,0.272469233,Republican
2012,Alabama,AL,Morgan,1103,President,Mitt Romney,republican,35391,49323,0.71753543,Republican
2012,Alabama,AL,Morgan,1103,President,Other,NA,493,49323,0.009995337,Republican
2012,Alabama,AL,Perry,1105,President,Barack Obama,democrat,4568,6099,0.748975242,Democrat
2012,Alabama,AL,Perry,1105,President,Mitt Romney,republican,1506,6099,0.246925726,Democrat
2012,Alabama,AL,Perry,1105,President,Other,NA,25,6099,0.004099033,Democrat
2012,Alabama,AL,Pickens,1107,President,Barack Obama,democrat,4455,9611,0.46353137,Republican
2012,Alabama,AL,Pickens,1107,President,Mitt Romney,republican,5124,9611,0.533139111,Republican
2012,Alabama,AL,Pickens,1107,President,Other,NA,32,9611,0.003329518,Republican
2012,Alabama,AL,Pike,1109,President,Barack Obama,democrat,6035,14107,0.427801801,Republican
2012,Alabama,AL,Pike,1109,President,Mitt Romney,republican,7963,14107,0.564471539,Republican
2012,Alabama,AL,Pike,1109,President,Other,NA,109,14107,0.007726661,Republican
2012,Alabama,AL,Randolph,1111,President,Barack Obama,democrat,3078,10398,0.296018465,Republican
2012,Alabama,AL,Randolph,1111,President,Mitt Romney,republican,7224,10398,0.69474899,Republican
2012,Alabama,AL,Randolph,1111,President,Other,NA,96,10398,0.009232545,Republican
2012,Alabama,AL,Russell,1113,President,Barack Obama,democrat,10500,18879,0.556173526,Democrat
2012,Alabama,AL,Russell,1113,President,Mitt Romney,republican,8278,18879,0.438476614,Democrat
2012,Alabama,AL,Russell,1113,President,Other,NA,101,18879,0.00534986,Democrat
2012,Alabama,AL,St. Clair,1115,President,Barack Obama,democrat,5801,35148,0.165044953,Republican
2012,Alabama,AL,St. Clair,1115,President,Mitt Romney,republican,29031,35148,0.825964493,Republican
2012,Alabama,AL,St. Clair,1115,President,Other,NA,316,35148,0.008990554,Republican
2012,Alabama,AL,Shelby,1117,President,Barack Obama,democrat,20051,92507,0.216751165,Republican
2012,Alabama,AL,Shelby,1117,President,Mitt Romney,republican,71436,92507,0.772222643,Republican
2012,Alabama,AL,Shelby,1117,President,Other,NA,1020,92507,0.011026193,Republican
2012,Alabama,AL,Sumter,1119,President,Barack Obama,democrat,5421,7027,0.771452967,Democrat
2012,Alabama,AL,Sumter,1119,President,Mitt Romney,republican,1586,7027,0.225700868,Democrat
2012,Alabama,AL,Sumter,1119,President,Other,NA,20,7027,0.002846165,Democrat
2012,Alabama,AL,Talladega,1121,President,Barack Obama,democrat,13905,33373,0.416654182,Republican
2012,Alabama,AL,Talladega,1121,President,Mitt Romney,republican,19246,33373,0.576693734,Republican
2012,Alabama,AL,Talladega,1121,President,Other,NA,222,33373,0.006652084,Republican
2012,Alabama,AL,Tallapoosa,1123,President,Barack Obama,democrat,6319,18829,0.335599341,Republican
2012,Alabama,AL,Tallapoosa,1123,President,Mitt Romney,republican,12396,18829,0.658346168,Republican
2012,Alabama,AL,Tallapoosa,1123,President,Other,NA,114,18829,0.00605449,Republican
2012,Alabama,AL,Tuscaloosa,1125,President,Barack Obama,democrat,32048,78590,0.40778725,Republican
2012,Alabama,AL,Tuscaloosa,1125,President,Mitt Romney,republican,45748,78590,0.582109683,Republican
2012,Alabama,AL,Tuscaloosa,1125,President,Other,NA,794,78590,0.010103067,Republican
2012,Alabama,AL,Walker,1127,President,Barack Obama,democrat,6557,28521,0.229900775,Republican
2012,Alabama,AL,Walker,1127,President,Mitt Romney,republican,21651,28521,0.759124855,Republican
2012,Alabama,AL,Walker,1127,President,Other,NA,313,28521,0.01097437,Republican
2012,Alabama,AL,Washington,1129,President,Barack Obama,democrat,2976,8778,0.339029392,Republican
2012,Alabama,AL,Washington,1129,President,Mitt Romney,republican,5761,8778,0.656299841,Republican
2012,Alabama,AL,Washington,1129,President,Other,NA,41,8778,0.004670768,Republican
2012,Alabama,AL,Wilcox,1131,President,Barack Obama,democrat,4868,6551,0.743092658,Democrat
2012,Alabama,AL,Wilcox,1131,President,Mitt Romney,republican,1679,6551,0.256296749,Democrat
2012,Alabama,AL,Wilcox,1131,President,Other,NA,4,6551,0.000610594,Democrat
2012,Alabama,AL,Winston,1133,President,Barack Obama,democrat,1286,9714,0.132386247,Republican
2012,Alabama,AL,Winston,1133,President,Mitt Romney,republican,8312,9714,0.855672226,Republican
2012,Alabama,AL,Winston,1133,President,Other,NA,116,9714,0.011941528,Republican
2012,Arizona,AZ,Apache,4001,President,Barack Obama,democrat,17147,25848,0.663378211,Democrat
2012,Arizona,AZ,Apache,4001,President,Mitt Romney,republican,8250,25848,0.31917363,Democrat
2012,Arizona,AZ,Apache,4001,President,Other,NA,451,25848,0.017448158,Democrat
2012,Arizona,AZ,Cochise,4003,President,Barack Obama,democrat,18546,49003,0.378466624,Republican
2012,Arizona,AZ,Cochise,4003,President,Mitt Romney,republican,29497,49003,0.601942738,Republican
2012,Arizona,AZ,Cochise,4003,President,Other,NA,960,49003,0.019590637,Republican
2012,Arizona,AZ,Coconino,4005,President,Barack Obama,democrat,29257,51731,0.565560302,Democrat
2012,Arizona,AZ,Coconino,4005,President,Mitt Romney,republican,21220,51731,0.410198914,Democrat
2012,Arizona,AZ,Coconino,4005,President,Other,NA,1254,51731,0.024240784,Democrat
2012,Arizona,AZ,Gila,4007,President,Barack Obama,democrat,7697,21528,0.357534374,Republican
2012,Arizona,AZ,Gila,4007,President,Mitt Romney,republican,13455,21528,0.625,Republican
2012,Arizona,AZ,Gila,4007,President,Other,NA,376,21528,0.017465626,Republican
2012,Arizona,AZ,Graham,4009,President,Barack Obama,democrat,3609,11855,0.304428511,Republican
2012,Arizona,AZ,Graham,4009,President,Mitt Romney,republican,8076,11855,0.681231548,Republican
2012,Arizona,AZ,Graham,4009,President,Other,NA,170,11855,0.014339941,Republican
2012,Arizona,AZ,Greenlee,4011,President,Barack Obama,democrat,1310,2974,0.440484196,Republican
2012,Arizona,AZ,Greenlee,4011,President,Mitt Romney,republican,1592,2974,0.535305985,Republican
2012,Arizona,AZ,Greenlee,4011,President,Other,NA,72,2974,0.024209818,Republican
2012,Arizona,AZ,La Paz,4012,President,Barack Obama,democrat,1880,5717,0.328843799,Republican
2012,Arizona,AZ,La Paz,4012,President,Mitt Romney,republican,3714,5717,0.64964142,Republican
2012,Arizona,AZ,La Paz,4012,President,Other,NA,123,5717,0.02151478,Republican
2012,Arizona,AZ,Maricopa,4013,President,Barack Obama,democrat,602288,1376558,0.437531873,Republican
2012,Arizona,AZ,Maricopa,4013,President,Mitt Romney,republican,749885,1376558,0.544753654,Republican
2012,Arizona,AZ,Maricopa,4013,President,Other,NA,24385,1376558,0.017714473,Republican
2012,Arizona,AZ,Mohave,4015,President,Barack Obama,democrat,19533,70010,0.279003,Republican
2012,Arizona,AZ,Mohave,4015,President,Mitt Romney,republican,49168,70010,0.702299671,Republican
2012,Arizona,AZ,Mohave,4015,President,Other,NA,1309,70010,0.018697329,Republican
2012,Arizona,AZ,Navajo,4017,President,Barack Obama,democrat,16945,37335,0.453863667,Republican
2012,Arizona,AZ,Navajo,4017,President,Mitt Romney,republican,19884,37335,0.532583367,Republican
2012,Arizona,AZ,Navajo,4017,President,Other,NA,506,37335,0.013552966,Republican
2012,Arizona,AZ,Pima,4019,President,Barack Obama,democrat,201251,382250,0.526490517,Democrat
2012,Arizona,AZ,Pima,4019,President,Mitt Romney,republican,174779,382250,0.45723741,Democrat
2012,Arizona,AZ,Pima,4019,President,Other,NA,6220,382250,0.016272073,Democrat
2012,Arizona,AZ,Pinal,4021,President,Barack Obama,democrat,44306,108315,0.409047685,Republican
2012,Arizona,AZ,Pinal,4021,President,Mitt Romney,republican,62079,108315,0.573133915,Republican
2012,Arizona,AZ,Pinal,4021,President,Other,NA,1930,108315,0.0178184,Republican
2012,Arizona,AZ,Santa Cruz,4023,President,Barack Obama,democrat,9486,13894,0.682740751,Democrat
2012,Arizona,AZ,Santa Cruz,4023,President,Mitt Romney,republican,4235,13894,0.304807831,Democrat
2012,Arizona,AZ,Santa Cruz,4023,President,Other,NA,173,13894,0.012451418,Democrat
2012,Arizona,AZ,Yavapai,4025,President,Barack Obama,democrat,33918,100283,0.338222829,Republican
2012,Arizona,AZ,Yavapai,4025,President,Mitt Romney,republican,64468,100283,0.642860704,Republican
2012,Arizona,AZ,Yavapai,4025,President,Other,NA,1897,100283,0.018916466,Republican
2012,Arizona,AZ,Yuma,4027,President,Barack Obama,democrat,18059,41953,0.430457893,Republican
2012,Arizona,AZ,Yuma,4027,President,Mitt Romney,republican,23352,41953,0.556622888,Republican
2012,Arizona,AZ,Yuma,4027,President,Other,NA,542,41953,0.012919219,Republican
2012,Arkansas,AR,Arkansas,5001,President,Barack Obama,democrat,2455,6494,0.378041269,Republican
2012,Arkansas,AR,Arkansas,5001,President,Mitt Romney,republican,3897,6494,0.600092393,Republican
2012,Arkansas,AR,Arkansas,5001,President,Other,NA,142,6494,0.021866338,Republican
2012,Arkansas,AR,Ashley,5003,President,Barack Obama,democrat,2859,7921,0.360939275,Republican
2012,Arkansas,AR,Ashley,5003,President,Mitt Romney,republican,4867,7921,0.614442621,Republican
2012,Arkansas,AR,Ashley,5003,President,Other,NA,195,7921,0.024618104,Republican
2012,Arkansas,AR,Baxter,5005,President,Barack Obama,democrat,5172,19339,0.267438854,Republican
2012,Arkansas,AR,Baxter,5005,President,Mitt Romney,republican,13688,19339,0.707792544,Republican
2012,Arkansas,AR,Baxter,5005,President,Other,NA,479,19339,0.024768602,Republican
2012,Arkansas,AR,Benton,5007,President,Barack Obama,democrat,22636,79257,0.285602534,Republican
2012,Arkansas,AR,Benton,5007,President,Mitt Romney,republican,54646,79257,0.689478532,Republican
2012,Arkansas,AR,Benton,5007,President,Other,NA,1975,79257,0.024918935,Republican
2012,Arkansas,AR,Boone,5009,President,Barack Obama,democrat,3772,15391,0.245078293,Republican
2012,Arkansas,AR,Boone,5009,President,Mitt Romney,republican,11159,15391,0.725034111,Republican
2012,Arkansas,AR,Boone,5009,President,Other,NA,460,15391,0.029887597,Republican
2012,Arkansas,AR,Bradley,5011,President,Barack Obama,democrat,1449,3652,0.396768894,Republican
2012,Arkansas,AR,Bradley,5011,President,Mitt Romney,republican,2134,3652,0.584337349,Republican
2012,Arkansas,AR,Bradley,5011,President,Other,NA,69,3652,0.018893757,Republican
2012,Arkansas,AR,Calhoun,5013,President,Barack Obama,democrat,660,2174,0.303587856,Republican
2012,Arkansas,AR,Calhoun,5013,President,Mitt Romney,republican,1458,2174,0.670653174,Republican
2012,Arkansas,AR,Calhoun,5013,President,Other,NA,56,2174,0.02575897,Republican
2012,Arkansas,AR,Carroll,5015,President,Barack Obama,democrat,3696,10183,0.362957871,Republican
2012,Arkansas,AR,Carroll,5015,President,Mitt Romney,republican,6125,10183,0.601492684,Republican
2012,Arkansas,AR,Carroll,5015,President,Other,NA,362,10183,0.035549445,Republican
2012,Arkansas,AR,Chicot,5017,President,Barack Obama,democrat,2649,4361,0.607429489,Democrat
2012,Arkansas,AR,Chicot,5017,President,Mitt Romney,republican,1670,4361,0.382939693,Democrat
2012,Arkansas,AR,Chicot,5017,President,Other,NA,42,4361,0.009630819,Democrat
2012,Arkansas,AR,Clark,5019,President,Barack Obama,democrat,3811,8409,0.4532049,Republican
2012,Arkansas,AR,Clark,5019,President,Mitt Romney,republican,4343,8409,0.516470448,Republican
2012,Arkansas,AR,Clark,5019,President,Other,NA,255,8409,0.030324652,Republican
2012,Arkansas,AR,Clay,5021,President,Barack Obama,democrat,1738,5110,0.340117417,Republican
2012,Arkansas,AR,Clay,5021,President,Mitt Romney,republican,3225,5110,0.63111546,Republican
2012,Arkansas,AR,Clay,5021,President,Other,NA,147,5110,0.028767123,Republican
2012,Arkansas,AR,Cleburne,5023,President,Barack Obama,democrat,2620,11647,0.224950631,Republican
2012,Arkansas,AR,Cleburne,5023,President,Mitt Romney,republican,8693,11647,0.746372456,Republican
2012,Arkansas,AR,Cleburne,5023,President,Other,NA,334,11647,0.028676913,Republican
2012,Arkansas,AR,Cleveland,5025,President,Barack Obama,democrat,845,3266,0.258726271,Republican
2012,Arkansas,AR,Cleveland,5025,President,Mitt Romney,republican,2313,3266,0.708205756,Republican
2012,Arkansas,AR,Cleveland,5025,President,Other,NA,108,3266,0.033067973,Republican
2012,Arkansas,AR,Columbia,5027,President,Barack Obama,democrat,3557,9455,0.376203067,Republican
2012,Arkansas,AR,Columbia,5027,President,Mitt Romney,republican,5790,9455,0.612374405,Republican
2012,Arkansas,AR,Columbia,5027,President,Other,NA,108,9455,0.011422528,Republican
2012,Arkansas,AR,Conway,5029,President,Barack Obama,democrat,3005,7730,0.388745149,Republican
2012,Arkansas,AR,Conway,5029,President,Mitt Romney,republican,4514,7730,0.583958603,Republican
2012,Arkansas,AR,Conway,5029,President,Other,NA,211,7730,0.027296248,Republican
2012,Arkansas,AR,Craighead,5031,President,Barack Obama,democrat,10527,31700,0.332082019,Republican
2012,Arkansas,AR,Craighead,5031,President,Mitt Romney,republican,20350,31700,0.641955836,Republican
2012,Arkansas,AR,Craighead,5031,President,Other,NA,823,31700,0.025962145,Republican
2012,Arkansas,AR,Crawford,5033,President,Barack Obama,democrat,4881,20591,0.237045311,Republican
2012,Arkansas,AR,Crawford,5033,President,Mitt Romney,republican,15145,20591,0.735515516,Republican
2012,Arkansas,AR,Crawford,5033,President,Other,NA,565,20591,0.027439172,Republican
2012,Arkansas,AR,Crittenden,5035,President,Barack Obama,democrat,9487,16716,0.567540081,Democrat
2012,Arkansas,AR,Crittenden,5035,President,Mitt Romney,republican,6998,16716,0.418640823,Democrat
